ID,Aircraft,Count
841,Airbus A300,24469
845,Airbus A310,20235
847,Airbus A318,5273
849,Airbus A319,90398
851,Airbus A320,181666
853,Airbus A321,51453
857,Airbus A330-200,59260
859,Airbus A330-300,51529
863,Airbus A340-200,3239
865,Airbus A340-300,32228
867,Airbus A340-500,3253
869,Airbus A340-600,13293
871,Airbus A350,4547
875,Airbus A380,21881
2391,Boeing 737-300,64612
2393,Boeing 737-400,32271
2395,Boeing 737-500,27752
2397,Boeing 737-600,6742
2399,Boeing 737-700 (BBJ/C-40 Clipper),60306
2405,Boeing 737-800 (BBJ2/C-40/P-8),148088
2407,Boeing 737-900 (BBJ3),7633
2413,Boeing 747-100,5033
2415,Boeing 747-200 (C-25/E-4),29703
2417,Boeing 747-300,8052
2419,Boeing 747-400 (AL-1),116803
2421,Boeing 747-8,8035
2423,Boeing 747SP,3975
2429,Boeing 757-200 (C-32),72007
2433,Boeing 757-300,5245
2437,Boeing 767-200,17723
2439,Boeing 767-300,78664
2441,Boeing 767-400,4305
2445,Boeing 777-200,76677
2447,Boeing 777-300,51502
2449,Boeing 787-8 Dreamliner,18673
2451,Boeing 787-9 Dreamliner,7002
2551,Bombardier BD-100 Challenger 300/350,3536
2555,Bombardier BD-700 Global Express/5000/6000 (E-11),8788
2559,Bombardier CL-600 Challenger 604/605,6643
2563,Bombardier CRJ-100/200/Challenger 800/850,20110
2569,Bombardier CRJ-700/701/702/Challenger 870,7246
2571,Bombardier CRJ-705/900/Challenger 890,8557
3241,Cessna 152,3198
3247,Cessna 172 Skyhawk/Cutlass/Hawk XP (T-41/Mescalero),13608
3255,Cessna 182 Skylane,5226
3265,Cessna 206 Super Skywagon/Super Skylane/Stationair 6,2646
3269,Cessna 208 Caravan I/Cargomaster/Grand Caravan (U-27),5191
3307,Cessna 525 CitationJet/CJ1/CJ2/CJ3/CJ4,8100
3311,Cessna 550/551/552 Citation II/IISP/SII/Bravo (T-47),4591
3313,Cessna 560 Citation V/Ultra/Encore (T-47/C-35),2324
3315,Cessna 560XL Citation Excel/XLS,7129
3319,Cessna 680 Citation Sovereign/Latitude,2174
3321,Cessna 750 Citation X,2753
3529,Cirrus SR-22,3213
4027,Dassault Falcon 2000,6058
4029,Dassault Falcon 50,3124
4033,Dassault Falcon 7X,2693
4037,Dassault Falcon 900,7518
4053,Dassault Mirage 2000,4795
4789,Embraer ERJ-135/140/145/Legacy (EMB-135/145),24771
4791,Embraer ERJ-170/175,14445
4793,Embraer ERJ-190/195/Lineage,22679
5551,Fokker 50,7875
5555,Fokker 70/100,21942
6169,Gulfstream Aerospace G-1159/G-IV/G-V Gulfstream (C-20/C-37),20036
7891,Learjet 45,2483
7895,Learjet 60,2834
8633,McDonnell Douglas MD-11,29076
8639,McDonnell Douglas MD-80 (DC-9-80),40932
8641,McDonnell Douglas MD-90,4450
